Employer
Implantaire Technologies 
Nulurn Edutech
Tata Elxsi
75F Smart Innovations Private Limited
Global Logic
Mindtree Ltd
 L&T technologies
Madhu infotech India private limited
"Aspireal Technologies Pvt Ltd
"
Ksolves India Pvt. Ltd.
TCS
ITIVITI India Pvt. Ltd
Suntec WebServicies
Marquis technology Pvt Ltd
Kent CamEye
Hughes Systique Corporation
L&T Technology services
HARMAN
Audience
Green Apex Technolabs
Hidden Brains
Visteon Technical and Services Centre
Faurecia
Harman International
ALTEN Calsoft Labs
Oppo R&D
Cummins
OptM Media Solutions
MResult Services
Harman Connected Services Corporation India Pvt. Ltd.
Magna Automations
Fugenic Engineering Services
Codetru
Sundaram Infotech Solutions Pvt.Ltd
Colan InfoTech
Coinedone Technologies
RevyrieGlobal.Ltd
Sony India Software Centre Pvt. Ltd
Niteosoft Inc DBA CompWorldWide
Toshiba India
Amadeus
 PJ Research Consulting services pvt ltd
HCL Technologies Limited
HCL Technologies
Visteon Technical and Services Centre
Hyundai Mobis PVT Ltd
KONE Elevators
Innobox Systems Pvt. Ltd
"L&T Technologies, Bengaluru"
Octava Techno solutions
JetBlue
Visteon corporation
PathPartner
Tata Elxsi
Honeywell Technology Solutions
Tata Advanced Systems
Robert Bosch Engineering and Business Solutions Private Limited
Altran Technologies
ITC Infotech
L and T Technology services
Aptive Automotive
Smarts Choice IT Technologies Pvt
Robert Bosch
Qritrim India limited
Kpit Technologies
Embitel Technologies Pvt. Ltd
Alstom Transport India Ltd
Aptiv Automotive
Robert Bosch Engineering And Business Solutions
L & T Technology Services Pvt
ZF India Technology Center
Continental Automotive Components
PathPartner
L&T Technology Services
Loginsof Pvt Limited
Embitel Technologies
Harman Connected Services
Tata Consultancy Services Ltd.
Dysis
Continental Automotive Components
Legato Health Technologies
Capco Technologies
l&t technology services
Toyota Kirloskar Motor
JCB India Limited
Volvo Group Truck Technology
ClearTrail Technologies
"MeLayer Software Solutions LLC, Pune"
Eastern Enterprise
CYBAGE SOFTWARE PVT. LTD.
Persistent System Ltd
" NCSI TECHNOLOGIES (INDIA)
PRIVATE LIMITED"
Kiran Corporation
AgileTech Info Solutions Pvt Ltd. Chennai
JGD Tech Pvt Ltd
HCL Technologies
Jasmin Infotech
WAPCOS
NIIT LTD
VITESCO TECHNOLOGIES INDIA PRIVATE LIMITED
Vanderlande Industries
Globant India Pvt Ltd
People Tech Group
BEATROUTE INNOVATIONS PVT. LTD.
"Farshore Software Development Pvt Ltd, Mad"
Tech Aimz India Pvt Ltd
IBM – Bangalore
JC Penney Pvt Ltd.
LoginSoft
Harman Connected Services
Unisys India Pvt. Ltd.
"Manprax Software LLP, New Delhi"
Applify Tech Pvt Ltd.
Cognizant Technologies
Verifone
Doodleblue Innovations
ZF Group
Honeywell
 Auromax Technologies Pvt Ltd
Cognizant Technology Solutions
EBC Publishing Pvt. Ltd.
L&T Technology Services
GlobalLogic
NETAPP INC
Continental AG
Jetsynthesys India Pvt Ltd.
Ambit Software
CAPITA INDIA PVT. LTD. PUNE
"Tech Mahindra, Pune "
"Persistent Systems Limited - Pune, India"
Harbinger Group 
Barcode India LTD. Pune
"Drish Infotech Ltd, Chandigarh, Chandigarh"
IBM
Trinity Mobile App Lab
KPIT Technologies Ltd
Robert Bosch Engineering and Business Solution Limited
Capgemini
Ittiam Systems
path partner
Xilinx India
ASM Technologies
FRSLabs research pvt. ltd.
Harman
HR AND PR MEDIA HYDERABAD
Creative Synergies
Dell International Services India Pvt Ltd 
"RailCarRX, A Kaleris Company, Bangalore, Karnataka"
S&P Global
Blume Global Inc
"Encora,Bengaluru, India"
Encora Innovation Labs Bangalore
Krish Technolabs Pvt Ltd
LTTS
Raja Software Labs
Tata Consultancy Services Ltd.
Infosys Limited
"GlobalLogic,A Hitachi Group Company, Nagpur"
Inspirisys Solutions Ltd
Datamatics Global Services
3CLogic
Cavisson Systems
Cuelogic Technologies
Impact Analytics
L&T Technology Services
HCL Technologies Ltd
IBM India Private Ltd
NexWave Talent Management Solutions
Aspire Systems
TCS
Attra Infotech Pvt. Ltd
Reserve Bank Information Technology
Capgemini
Societe Generale
Societe Generale
Genpact Headstrong Capital Markets
Atos - Last Employer
Amdocs Development Center India Pvt. Ltd.
Capgemini
Aavishk Sustainable Solutions Pvt Ltd
TATA Power
Nexteer Automotive
Virtusa Software
Sasken Technologies Ltd
Examroom.AI
KPIT Technologies Pvt Ltd
"Paytm (PaytmMoney), Pune, Maharashtra"
Lotus Infotech Solutions (India) Private Ltd
Apex IT Services
Hyundai Mobis
Schneider Electrics Pvt Ltd
Mirraw Online Services Pvt Ltd
TCS
Aeologic Technology
Larsen & Toubro
HTC Global Services
LoginSoft
MobiMonster
"Benchmark ESG, Gensuite"
Staunchondemand Solution 
TECH M
Interglobe aviation LTD
GENWORKS Health
Larsen & Toubro (L&T)
HCL Technologies
IBM
Tata Consultancy Services
Commonwealth Bank of Australia
John Deere
Appventurez Mobitech Pvt ltd
NSEIT Ltd
IBM Pvt Ltd
Forray software PVT.LTD
"IBM, Chennai "
HARMAN
L&T
L&T
Samsung R&D Institute India
Althea technology pvt ltd 
Innominds Software
Rockwell Collins
Volo E Solutions Pvt Ltd
Cognizant Pvt Ltd Services 
"Delloitte , Hydrabad"
L&T Technology Services
Cerence
Wonderslate Technologies pvt ltd
Robert Bosch Engineering
Harman International
Robert Bosch Engineering
Accenture Delivery Centers
Hyundai Mobis
East2West Software Pvt. Ltd.
Cognizant Technology Solutions
CIENTRA TECHSOLUTION
Global Edge Software
INFISECURE TECHNOLOGIES PVT LTD
Software Developer Team Member at ATMT Software
Sabka Technologies Pvt Ltd
Nabha Solutions Pvt Ltd
Epsilon India  at Software Company
"Webvillee Technology Pvt. Ltd, Indore, MP"
"Paisalo digital limited, Agra (U.P)"
"HCL Technology (Chennai, T.N) "
Atos India Pvt. Ltd.
Furnify Home Décor Solutions Pvt Ltd
Capgemini Technology
Ejyle Technologies pvt ltd Bangalore
Webguru Infosystems Pvt. Ltd
Capgemini
Lava International
Simtech
Reliance Jio Infocomm Pvt Ltd
Foray Software
L&T Technology
DBS Bank
Continental Automotive Components
Nuance India Pvt
PayCraft Solution
Harman
Cybage Software Pvt. Ltd | Pune
Almarai Company
"Refixd Technologies Pvt Ltd, Bangalore"
Continental Automotive Components india pvt ltd
Robert Bosch Engineering and Business Solutions Private Limited
INFIQUITY AUTO TECHNOLOGIES PVT ltd 
Joga App Technologies Pvt Ltd
Kotlinz Infotech - Rajkot
Prokarma softech pvt. ltd
"Cognizant Technology Solutions, Gurugram,
Haryana"
Tata Consultancy Services Ltd 
Mavenir Systems
PayCraft Solutions
Mindtree Ltd Hyderabad 
Daskalos Virtual Accadamy
“T&M Services consulting Pvt. Ltd
Tacktile Systems
Reliance Jio Infocomm Pvt Ltd
Robert Bosch Engineering and Business Solutions
Larsen and toubro technologies services Bangalore
Harman Connected Services
Webspiders India  Private  Limited
Craft Silicon Pvt. Ltd
MEDTRONIC Engineering and Innovation Centre - Hyderabad
"Accenture, Gurugram"
Zebra Technologies
Tata Consultancy Services
Capgemini
Techangouts
GWM(Great Wall Motors)
Micromax Informatics Private Ltd
HCL Technologies
Harman International
Xpanxion international pvt ltd
t QUEST GLOBAL ENGINEERING SERVICES PRIVATE LIMITED
Polaris Pvt Ltd
Polaris Pvt Ltd
Yazaki India Technical Center
GWM
Cyient Limited
Cientra Techsolution
EUREKA IT SOLUTIONS PVT. LTD.
Maxgen Technologies Pvt. Ltd.
Weblink Solutions
Nimbletec Inc.
"Infosys Pvt, Ltd."
Mphasis Ltd
SRIT india
"Tata Elxsi, Bangalore"
Shopkirana Pvt .ltd
PARANGAT TECHNOLOGY
Capgemini
Nagarro
HCL Technologies
JP Morgan Chase & Co.
Delta Electronics India Pvt Ltd
Cognizant Technology Solutions – Chennai
"Tejas Networks Pvt Ltd,"
Fiserv India Pvt Ltd
Mobile Programming PVT LTD
TCS
Samsung R&D Institute
Comgen india software solution pvt ltd
"FP Tech Science
"
Thundersoft India pvt
Harman International
Mirraw.com -Online Ethnic Wear
P.S. Intelegencia Analytics Pvt. Ltd.
Aurionpro Solutions Ltd
HCL Technologies Vijayawada
Nsoft (India) service pvt Lmt Bangalore
Datamatics
Quest Global
UST Global
Tech Mahindra
"HeroVired, Bengaluru"
International Freelance Developer
PFG Forex
Accenture
"Emids Technologies | Bangalore, Karnataka"
Acsia Technologies
Smiths Detection Systems (India) Pvt. Ltd
MResult
Sasken Technologies
Bosch Global Software Technologies 
"KPIT Pvt Ltd, Bangalore"
HCL Technologies
Nureca Limited (Dr. Trust)
Infosys
Alabrar Technology pvt Ltd
"Tata Consultancy Services, Ahmedabad, Gujarat"
"Infosys Pvt, Ltd."
TATA TECHNOLOGIES
BGS Infotech
Encora Innovation labs
Tech Mahendra
P4E Technologies
Continental Automotive
MSC Software
Bombardier Transportation (Now Alstom)
"Brisa Technologies, Bangalore"
"Mistral Solutions Pvt Ltd, Bangalore"
"Tata Elxsi, Bangalore"
"Tata Elxsi, Bangalore"
Accenture
Zensar Technologies
Infosys
"Tata Elxsi, Bangalore"
"Robert Bosch Engineering and Business Solutions Ltd, Bangalore"
CargoSync pvt ltd
Infosys
Broadridge Financial Solutions
Cybage Software Pvt Ltd
Coforge
"Teamspringg Solution, Pune"
DigiAdd Technologies
Mphasis
Infogain India Pvt. Ltd
Magenta EV Solution Pvt
Datamatics Global Service
CLOBDATA TECHNO SOLUTIONS
IBM
CFA Technologies Pvt Ltd. Bangalore
"PROSPER INFORMATICS PVT LTD, CHENNAI"
"Aumnics IT Solutions Private Limited, Hyderabad"
Capgemini.
(NCR Corporation)
HAYA Systems India Private
"INTEGRIN TECHNOLOGY, Pune"
Rglobits Technologies
SYSARC Infomatix Pvt. Limited
"Netfinity technologies India PVT LTD,"
"Bitwise Global,"
Heraizen
NEXGEN TECHNOLOGIES LIMITED
L&T
Kevell Corp
CSquare Info Solutions Pvt Ltd
Infosys Limited
Infosys Limited
Infosys
Aithent Technology
Digimetrix Technologies
"Integrin Technologies,"
Virtusa 
"GigLabz, Bangalore"
Infosys Limited
Capgemini India Pvt Ltd
IVY Comptech
Mouritech Pvt Ltd
TCS
Danfoss Power Solutions
BNP Paribas India Pvt. Ltd.
Volansys Technologies Ltd
Philips India Limited
"AppAdore Pvt Ltd., Infopark, Kochi"
Tata consultancy private
DAICENET SOLUTIONS
Einfochips
Telus International Private limited
NTT India Private limited
Clarion Technologies
Jainya Pvt. Ltd.
Tata Consultancy Services
Capgemini
"Hewlett Packard Enterprise, Bangalore"
Global Edge Software Ltd
Infosys Limited
Bosch Global Software Technologies
Robert Bosch Engineering and Business Soln Private
Robert Bosch Engineering and Business Soln Private































































































































































































































































































































































































































































































































Employer
Harman International
Benison Technologies
L&T technologies
Fiserv India Pvt Ltd
Colan Infotech
Sunfocus Solutions
Tech Mahindra Ltd.
KPIT
ATMT
Robert Bosch Engineering
HCL TECHNOLOGY
L & T Technology Services
Nebula Automotive Euroe
"TATA CONSULTANCY SERVICES, Bangalore"
"Reliance Ind. Ltd, Mumbai"

DEVICECONNSOL PVT LTD
HCL Technologies
KPIT
YAZAKI INDIA PVT LTD
"KPIT, Bangalore"
Robert Bosch Engineering and Business Solutions
Honeywell
Encore Innovation Labs
Harman Connected Services
Continental Automotive components (India)pvt Ltd
Harman Connected Services
Alten India
Mercedes Benz Research and Development India Pvt. Ltd

Volvo cars Corporation ( Sweden)
Harman International India
Fisker inc
arsen And Toubro Technology
Cognizant
Cognizant



































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































Notice period
45 Days
1 Month
Immediate joiner
Immediate joiner
LWD: 09/01/22
Immediate
Immediate
Immediate

Immediate joiner
Immediate joiner
Immediate
Immediate joiner
Immediate joiner
LWD:17/01/22
LWD: 21/01/22
Immediate
Immediate joiner
Immediate joiner












































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































Employer
Madhu infotech India private limited
"Aspireal Technologies Pvt Ltd
"
Ksolves India Pvt. Ltd.
Neork technologies
Kimberlite Softwares Pvt. Ltd
Voyon Technology Services Pvt Ltd
CLEAR CREDITS AND INVESTMENTS PVT.LTD
Dominant Fiber Optic Projects
Ibis Academy
Al ACCADE
Speridian Technologies
Nissan Digital India Ltd
TCS
Highness FRP Industries
ICS India IT Education Group
Axis Bank
Conduent Business Solutions LLC
Password publishing house pvt
Maveli Wines

Nasscom COE-IOT
Amazon Development Center
Compuage Infocom Ltd
Back to Roots Organics
KPIT Pune
Ahalia Medical Group
Endo soft Pvt Ltd
IntellDigit Solution
"PYV TECH
(Self employed)"
"Wipro Technologies, Kolkata"
Norconsult Telematics 
MOOG 
Marelli India Pvt Ltd
Frost & Sullivan
Robert Bosch Engineering and Business Solutions Limited
Centena Group
Emxcel Solutions Pvt. Ltd. 
Art Technology and Software
Navabrind IT Solutions
"ENBR Resporces Group, Papua New Gunea"
RM Education Solutions India Pvt. Ltd 
TCS Kochi 
Fulcrum Digital
Ellowio
"PwC, Mumbai "
Arnasoftech Pvt Ltd. 
Datamate Infosolutions
RGC Dynamics LLC
Goaugment Private Ltd
"Avineon, Hyderabad"
Wood PLC Kolkata 
Sinmec engineering services india pvt ltd








































































































































































































































































































































































































































































































































































































































































































































































































































































































Employer
Einfochips Pvt Ltd Pune
Elyctis India pvt ltd
First View Consultants 
HCC EMBEDDED
Hughes Systique Corporation
Itron India Private Limited
Infosys
Juniper Networks
VVDN Technologies
HCL Technologies
HCL Technologies
HCL Technologies Limited
"TKS Co., Ltd."

"NOKIA, Gurgaon"
TVI Pvt. Ltd.
Aruba Networks
Fibcom India
L&T
Xiaomi Technology India Pvt. Ltd.
Broadcom
HCL Technologies Limited
SISL Infotech
HCL Technologies Limited
FLEXTRONICS 
Flextronics India Pvt
Renault Nissan Technologies and business center India Pvt LTD
Ford Motor Private Limited
Ford Motor Private Limited
 Innominds Software
CloudTern Solutions
CitiusTech Healthcare Technology Private Limited    
Cutech Solution Pvt Ltd
Edubrite Systems
Applied Synergy Technologies Pvt Ltd
Mobijini (Bizmobile IT Solutions Pvt Ltd)
Crown shield security surveillance
Indus Net Technologies
TVS Next Ltd
Workathon
Tata Communications Transformation Services Limited
Welco Infotech Private Limited
Accenture 
Colt Technology Services 
Tata Consultancy Services
Thakral One
ACH Software Information Technology
HCL Technologies
Bloom energy India Pvt. Ltd.
Digilogic SystemsPvtLtd
HCL Technologies
Pinaka Aerospace Solutions Ltd
Alten calsoft India pvt. Ltd. 
VVDN Technologies 
VVDN Technologies Pvt Ltd


































































































































































































































































































































































































































































































































































































































































































































































Employer
Vandalay Business Solutions Pvt Ltd
"Quintet Solutions Kalpetta, Kerala"
 Zamorins Solutions
SMCIM
NA
NA
NA
Nil
Nil
Nil
Nil
Nil
Nil
Nil
Nil
Nil
Nil
Naval Physical Oceanographic Laboratory
Iquad innovations pvt limited
Microgenisis Techsoft pvt ltd
NR Switch N Radio
Nil
Nil
Nil
Nil
Nil
Nil



Nil
Nil
Nil
Nil
"Tot HR Vacancy Hub , Kochi"
NR Switch and Radio Service Pvt. Ltd.
Better Real Estate
Bharat Electronics Ltd.
 Fossil Group
LambdaTest
Wipro
Opentrends
Faststream Technologies Pvt Ltd
Honeywell Technology Solutions  
Robert Bosch Engineering and Business Solutions Limited
Manipal Technologies Limited
GE Healthcare
Infosys
RSystem International Pvt. Ltd
Infosys
Hughes Systique Corporation
Capgemini 
Tata Communications Transformation Services Limited
Welco Infotech Private Limited
Accenture 
Colt Technology Services 
Tata Consultancy Services


















































































































































































































































































































































































































































































































































































































































































































































































































































































































Employer
AVIN Systems
Robert Bosch
HCL Technologies Ltd.
Continental Automotive
Infosys
: CanControls GmbH
Jonhn Deere India Pvt Ltd
Aptive
