,,,,,
University,Location,State,Applicability of Section 12 (B)?,Established,Specialization
Uttar Pradesh Rajarshi Tandon Open University,,Allahabad,No,2004,Distance education
Veer Bahadur Singh Purvanchal University,,Jaunpur,Yes,1987,General
Doon University,Uttarakhand,Dehradun,Yes,2005,General
G. B. Pant University of Agriculture and Technology,,Pantnagar,Yes,1960,"Agriculture, technology"
Kumaun University,,Nainital,Yes,1973,General
Uttarakhand Open University,,Haldwani,Yes,2005,Distance education
Uttarakhand Technical University,,Dehradun,No,2008,Technology
Uttaranchal Sanskrit University,,Haridwar,No,2005,Sanskrit
Aliah University,West Bengal,Kolkata,No,2007,General
"Bengal Engineering and Science University, Shibpur",,Shibpur,Yes,1856 (Converted in 2004),Technology
Bidhan Chandra Krishi Viswavidyalaya,,Haringhata,Yes,1974,Agriculture
Jadavpur University,,Kolkata,Yes,1955,General
Netaji Subhas Open University,,Kolkata,No,1997,Distance education
"Presidency University, Kolkata",,Kolkata,Yes,2010,General
Rabindra Bharati University,,Kolkata,Yes,1962,General
Sidho Kanho Birsha University,,Purulia,No,2010,General
University of Burdwan,,Bardhaman,Yes,1960,General
University of Calcutta,,Kolkata,Yes,1857,General
University of Gour Banga,,Malda,No,2007,General
University of Kalyani,,Kalyani,Yes,1960,General
University of North Bengal,,Siliguri,Yes,1962,General
Uttar Banga Krishi Vishwavidyalaya,,Cooch Behar,No,2001,Agriculture
Vidyasagar University,,Medinipur,Yes,1981,General
West Bengal State University,,Barasat,No,2007,General
West Bengal National University of Juridical Sciences,,Kolkata,Yes,2004,Legal
West Bengal University of Animal and Fishery Sciences,,Kolkata,No,1995,Veterinary science
West Bengal University of Health Sciences,,Kolkata,No,2002,Medical
West Bengal University of Technology,,Kolkata,Yes,2001,Technology
